0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/main.jsp HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:56 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:56 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:56 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:57 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:08 +0900] "GET /text/main.jsp HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:08 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:08 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:09 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:09 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:09 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:10 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:27 +0900] "GET /text/main.jsp HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:27 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:27 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:27 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:27 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:27 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:29 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:55 +0900] "GET /text/main.jsp HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:55 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:55 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:55 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:55 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:55 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:35:57 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
